,id,name,season,score,year,link,image,genre,producers,members,start_date,end_date,studios,source,themes,duration,rank,popularity,favorites,demographics
34,49926,Kimetsu no Yaiba: Mugen Ressha-hen,fall,8.38,2021.0,https://myanimelist.net/anime/49926/Kimetsu_no_Yaiba__Mugen_Ressha-hen,https://cdn.myanimelist.net/images/anime/1065/118763.jpg,"Action, Fantasy","Aniplex, Shueisha",703072,2021-10-10T00:00:00+00:00,2021-11-28T00:00:00+00:00,ufotable,Manga,Historical,24 min per ep,188.0,280,4154,Shounen
35,39808,Non Non Biyori Nonstop,winter,8.37,2021.0,https://myanimelist.net/anime/39808/Non_Non_Biyori_Nonstop,https://cdn.myanimelist.net/images/anime/1033/111540.jpg,Slice of Life,"TV Tokyo, Lantis, AT-X, Kadokawa, Bandai Namco Arts, Bit grooove promotion, Sony Music Solutions",121131,2021-01-11T00:00:00+00:00,2021-03-29T00:00:00+00:00,SILVER LINK.,Manga,"CGDCT, Iyashikei",24 min per ep,199.0,1760,931,Seinen
36,39535,Mushoku Tensei: Isekai Ittara Honki Dasu,winter,8.37,2021.0,https://myanimelist.net/anime/39535/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu,https://cdn.myanimelist.net/images/anime/1530/117776.jpg,"Adventure, Drama, Fantasy, Ecchi","Frontier Works, TOHO, TOHO animation, Hakuhodo DY Music & Pictures, BS11, Egg Firm, Kadokawa, GREE, Toho Music",1255883,2021-01-11T00:00:00+00:00,2021-03-22T00:00:00+00:00,Studio Bind,Light novel,"Isekai, Reincarnation",23 min per ep,198.0,102,32144,
37,38883,Haikyuu!! To the Top,winter,8.36,2020.0,https://myanimelist.net/anime/38883/Haikyuu_To_the_Top,https://cdn.myanimelist.net/images/anime/1813/105367.jpg,Sports,"Dentsu, Mainichi Broadcasting System, Movic, Sony Music Entertainment, TOHO animation, Shueisha",909913,2020-01-11T00:00:00+00:00,2020-04-04T00:00:00+00:00,Production I.G,Manga,"School, Team Sports",24 min per ep,204.0,176,5129,Shounen
38,39547,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,summer,8.36,2020.0,https://myanimelist.net/anime/39547/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_Kan,https://cdn.myanimelist.net/images/anime/1958/107912.jpg,"Comedy, Romance","Marvelous Entertainment, TBS, Movic, Delfi Sound, NBCUniversal Entertainment Japan",710028,2020-07-10T00:00:00+00:00,2020-09-25T00:00:00+00:00,feel.,Light novel,"Love Polygon, School",24 min per ep,205.0,272,13828,
39,41025,Fumetsu no Anata e,spring,8.35,2021.0,https://myanimelist.net/anime/41025/Fumetsu_no_Anata_e,https://cdn.myanimelist.net/images/anime/1880/118484.jpg,"Adventure, Drama, Supernatural","NHK, Kodansha, NHK Enterprises",845440,2021-04-12T00:00:00+00:00,2021-08-30T00:00:00+00:00,Brain's Base,Manga,,25 min per ep,208.0,201,14103,Shounen
40,39587,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,summer,8.34,2020.0,https://myanimelist.net/anime/39587/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season,https://cdn.myanimelist.net/images/anime/1444/108005.jpg,"Drama, Fantasy, Suspense","AT-X, Memory-Tech, Hakuhodo DY Music & Pictures, Kadokawa Media House, Kadokawa",1078670,2020-07-08T00:00:00+00:00,2020-09-30T00:00:00+00:00,White Fox,Light novel,"Isekai, Psychological, Time Travel",26 min per ep,218.0,134,11499,
41,41487,Tensei shitara Slime Datta Ken 2nd Season Part 2,summer,8.33,2021.0,https://myanimelist.net/anime/41487/Tensei_shitara_Slime_Datta_Ken_2nd_Season_Part_2,https://cdn.myanimelist.net/images/anime/1033/118296.jpg,"Action, Adventure, Comedy, Fantasy","Kodansha, BS11, Bandai Namco Arts, Micro Magazine Publishing, Bandai Spirits, Sony Music Solutions, ADK Marketing Solutions",723990,2021-07-06T00:00:00+00:00,2021-09-21T00:00:00+00:00,8bit,Manga,"Isekai, Reincarnation",23 min per ep,228.0,262,10719,Shounen
42,46654,IDOLiSH7 Third Beat! Part 2,fall,8.33,2022.0,https://myanimelist.net/anime/46654/IDOLiSH7_Third_Beat_Part_2,https://cdn.myanimelist.net/images/anime/1458/125998.jpg,Drama,,13044,2022-10-02T00:00:00+00:00,2023-02-26T00:00:00+00:00,TROYCA,Game,"Idols (Male), Music",24 min per ep,227.0,5611,212,
43,49918,Boku no Hero Academia 6th Season,fall,8.32,2022.0,https://myanimelist.net/anime/49918/Boku_no_Hero_Academia_6th_Season,https://cdn.myanimelist.net/images/anime/1483/126005.jpg,Action,"Dentsu, Yomiuri Telecasting, Movic, Sony Music Entertainment, TOHO animation, Shueisha",600014,2022-10-01T00:00:00+00:00,2023-03-25T00:00:00+00:00,Bones,Manga,"School, Super Power",23 min per ep,236.0,349,6960,Shounen
